,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
115,bend,20,US,1568048587,62,44.06,-121.32,59.0,14.99
116,boyolangu,100,ID,1568048784,87,-8.09,111.9,67.01,4.81
117,nemuro,83,JP,1568048552,94,43.32,145.57,67.91,6.33
118,svetlaya,83,RU,1568048682,74,46.54,138.33,53.33,3.36
119,petropavlovsk-kamchatskiy,90,RU,1568048625,100,53.05,158.65,50.0,4.47
120,bredasdorp,4,ZA,1568048784,77,-34.53,20.04,62.6,4.7
121,rudnyy,0,KZ,1568048607,71,52.96,63.12,51.8,8.95
122,anadyr,0,RU,1568048785,93,64.73,177.51,39.2,4.47
123,saint-denis,0,FR,1568048785,39,48.94,2.36,66.2,5.82
124,prince rupert,90,CA,1568048785,87,52.97,-108.38,54.0,17.22
125,talcahuano,90,CL,1568048785,93,-36.72,-73.12,51.8,14.99
126,grindavik,75,IS,1568048785,71,63.84,-22.43,51.8,6.93
127,oranjemund,0,ZA,1568048785,82,-28.55,16.43,58.73,5.12
128,nova olimpia,21,BR,1568048786,20,-5.53,-46.7,99.95,7.14
129,lae,94,PG,1568048786,94,-6.72,146.98,67.73,1.05
130,lata,48,IN,1568048786,94,30.78,78.62,40.37,2.01
131,san carlos de bariloche,90,ML,1568048773,58,13.3,-4.9,87.71,7.52
132,angoche,8,MZ,1568048787,71,-16.23,39.91,68.27,5.44
133,ribeira grande,20,PT,1568048787,68,41.76,-8.56,73.99,14.99
134,viedma,97,AR,1568048788,39,-40.81,-62.99,59.09,11.03
135,abnub,0,EG,1568048788,35,27.27,31.15,89.6,20.8
136,scarborough,100,GB,1568048788,87,54.28,-0.41,57.2,4.7
137,geraldton,75,CA,1568048788,58,49.72,-86.95,59.0,2.24
138,yumen,0,CN,1568048789,54,40.29,97.04,62.51,14.99
139,ambanja,24,MG,1568048789,70,-13.68,48.45,79.61,7.09
140,macapa,40,BR,1568048789,52,0.05,-51.07,93.2,9.17
141,nioro,80,GM,1568048625,78,13.79,-15.05,83.39,7.99
142,flinders,2,AU,1568048666,65,-34.58,150.85,53.01,9.17
143,lompoc,40,US,1568048781,100,34.64,-120.46,78.01,4.7
144,tiksi,94,RU,1568048790,75,71.64,128.87,33.71,18.81
145,poopo,20,BO,1568048790,38,-18.38,-66.97,59.0,12.75
146,butaritari,100,KI,1568048790,70,3.07,172.79,82.85,4.16
147,mount isa,75,GB,1568048790,93,53.66,-1.85,60.01,4.7
148,yasnogorsk,4,RU,1568048791,80,54.48,37.69,59.81,5.3
149,norman wells,1,US,1568048791,48,35.22,-97.44,91.0,16.11
150,tabou,70,CI,1568048570,82,4.42,-7.36,76.91,7.94
